DATA_LANCAMENTO_OBRA;TITULO_ORIGINAL;CPB_ROE;TIPO_OBRA;PAIS_OBRA;PUBLICO_TOTAL;RENDA_TOTAL;RAZAO_SOCIAL_DISTRIBUIDORA;REGISTRO_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
18/04/2024;SEM CORAÇÃO;B2400126700000;FICÇÃO;ITÁLIA;4275;R$ 41.965,91;VITRINE FILMES LTDA;16713;11.620.976/0001-83
18/04/2024;SILVER HAZE;E2300345200000;FICÇÃO;HOLANDA;194;R$ 4.017,03;BITELLI FILMS LTDA;52026;47.721.628/0001-40
18/04/2024;UM TIRO NO ESCURO;B2300243500000;DOCUMENTÁRIO;BRASIL;83;R$ 830,00;VEREDA INTERNACIONAL AUDIOVISUAL LTDA;20529;09.112.697/0001-67
04/04/2024;ARTHUR THE KING;E2400002700000;FICÇÃO;ESTADOS UNIDOS;4062;R$ 100.050,06;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
04/04/2024;DOMINGO À NOITE;B2200374800000;FICÇÃO;BRASIL;1854;R$ 32.293,53;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
04/04/2024;DREAM SCENARIO;E2300529600000;FICÇÃO;ESTADOS UNIDOS;3907;R$ 93.005,23;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
01/04/2024;JANGO NO EXÍLIO;B2300201800000;DOCUMENTÁRIO;BRASIL;377;R$ 5.910,99;SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA;277;02.185.369/0001-41
28/03/2024;GODZILLA X KONG: THE NEW EMPIRE;E2400055800000;FICÇÃO;ESTADOS UNIDOS;580705;R$ 12.827.180,20;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
28/03/2024;HIGH & LOW - JOHN GALLIANO;E2400058100000;DOCUMENTÁRIO;ESTADOS UNIDOS;554;R$ 14.547,75;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
28/03/2024;JUNIPER;E2400080900000;FICÇÃO;NOVA ZELÂNDIA;1316;R$ 26.993,40;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
28/03/2024;MOTHER´S INSTINCT;E2300554400000;FICÇÃO;ESTADOS UNIDOS;24407;R$ 677.509,57;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
28/03/2024;NADA SERÁ COMO ANTES - A MÚSICA DO CLUBE DA ESQUINA;B2300166100000;DOCUMENTÁRIO;BRASIL;13168;R$ 143.926,61;LIRA FILMES PRODUÇÕES LTDA ME;28406;21.054.261/0001-64
27/03/2024;HATE TO LOVE: NICKELBACK;E2400085100000;DOCUMENTÁRIO;CANADÁ;913;R$ 20.453,05;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.;749;01.289.530/0001-64
21/03/2024;KUNG FU PANDA 4;E2400009900000;ANIMAÇÃO;ESTADOS UNIDOS;1097530;R$ 22.497.331,67;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
21/03/2024;SAUDOSA MALOCA;B2300551000000;FICÇÃO;BRASIL;11678;R$ 209.657,46;ELO AUDIOVISUAL SERVIÇOS LTDA;5672;07.700.630/0001-18
21/03/2024;THE CHOSEN;E2400073700000;FICÇÃO;ESTADOS UNIDOS;529273;R$ 10.636.237,22;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
21/03/2024;THE FIRST DAY OF MY LIFE;E2400053500000;FICÇÃO;ITÁLIA;2571;R$ 47.894,63;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
14/03/2024;IMAGINARY;E2400036900000;FICÇÃO;ESTADOS UNIDOS;174844;R$ 3.335.787,78;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
14/03/2024;KURU OTLAR ÜSTÜNE;E2300533900000;FICÇÃO;TURQUIA;2154;R$ 37.693,98;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
14/03/2024;LILITH;B2300408500000;FICÇÃO;BRASIL;505;R$ 5.884,84;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
14/03/2024;LUPICÍNIO RODRIGUES - CONFISSÕES DE UM SOFREDOR;B2300401000000;DOCUMENTÁRIO;BRASIL;989;R$ 13.328,30;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
14/03/2024;LUPICÍNIO RODRIGUES POR EDUARDO CANTO E ROBERTO MENESCAL;B1402426800000;VÍDEOMUSICAL;BRASIL;207;R$ 2.545,37;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
14/03/2024;ONE LIFE;E2300569900000;FICÇÃO;INGLATERRA;94024;R$ 2.535.409,02;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
14/03/2024;VIVER MAL;E2300387500000;FICÇÃO;FRANÇA;182;R$ 3.274,59;ZETA FILMES LTDA;22936;02.469.679/0001-98
14/03/2024;YOUSSEF SALEM A DU SUCCÈS;E2400057000000;FICÇÃO;FRANÇA;1158;R$ 22.460,48;BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;14462;10.383.039/0001-99
11/03/2024;VOCAL LIVRE (TEMPO)RAL AO VIVO;B2400047700000;VÍDEOMUSICAL;BRASIL;2687;R$ 78.423,40;AM DE MORAIS PRODUCOES E EVENTOS;51361;13.489.036/0001-22
07/03/2024;20 DNIV U MARIUPOLI;E2400053600000;DOCUMENTÁRIO;UCRÂNIA;2121;R$ 35.226,64;SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA;277;02.185.369/0001-41
07/03/2024;ALL OF US STRANGERS;E2300511000000;FICÇÃO;ESTADOS UNIDOS;18492;R$ 395.184,05;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
07/03/2024;APAIXONADA;B2400036500000;FICÇÃO;BRASIL;16969;R$ 341.936,81;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
